System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:16:29:642,1203423061200008,98.0623,3399,61.0051,5478.9492,1521.9303,50.8154,4500.3887,1250.1080,0.0000,0.0032,0.0009,
22:16:30:643,1203426263237617,99.0629,3399,60.0922,5539.0526,1538.6257,49.8954,4550.2934,1263.9704,0.0000,0.0032,0.0009,
22:16:31:644,1203429465280209,100.0636,3399,60.3652,5599.4292,1555.3970,50.2885,4600.5914,1277.9420,0.0000,0.0032,0.0009,
22:16:32:644,1203432667429102,101.0643,3400,60.5149,5659.9575,1572.2104,50.2679,4650.8704,1291.9084,0.0000,0.0032,0.0009,
22:16:33:645,1203435869533369,102.0649,3399,60.5974,5720.5672,1589.0464,50.4793,4701.3599,1305.9333,0.0000,0.0032,0.0009,
22:16:34:646,1203439071565622,103.0656,3399,61.1590,5781.7375,1606.0382,51.1252,4752.4946,1320.1374,0.0000,0.0032,0.0009,
22:16:35:646,1203442273589073,104.0662,3399,60.9700,5842.7189,1622.9775,50.7391,4803.2431,1334.2342,0.0000,0.0032,0.0009,
22:16:36:647,1203445475704412,105.0669,3474,60.3343,5903.0656,1639.7404,50.1316,4853.3849,1348.1625,0.0000,0.0032,0.0009,
22:16:37:648,1203448677794486,106.0675,3399,59.6772,5962.7552,1656.3209,49.5384,4902.9337,1361.9260,0.0000,0.0032,0.0009,
22:16:38:648,1203451879823542,107.0681,3399,60.2523,6023.0187,1673.0607,50.0964,4953.0394,1375.8443,0.0000,0.0032,0.0009,
22:16:39:649,1203455081888118,108.0688,3399,60.4549,6083.4849,1689.8569,50.2805,5003.3293,1389.8137,0.0016,0.0049,0.0014,
22:16:40:650,1203458283897640,109.0694,3399,60.9565,6144.4524,1706.7923,50.8342,5054.1727,1403.9369,0.0000,0.0049,0.0014,
22:16:41:650,1203461485902018,110.0701,3399,60.6934,6205.1568,1723.6547,50.4826,5104.6644,1417.9623,0.0000,0.0049,0.0014,
22:16:42:651,1203464687942356,111.0707,3399,61.2871,6266.4556,1740.6821,51.1559,5155.8301,1432.1750,0.0000,0.0049,0.0014,
22:16:43:652,1203467890141594,112.0714,3399,60.9437,6327.4112,1757.6142,50.7620,5206.6020,1446.2783,0.0000,0.0049,0.0014,
22:16:44:652,1203471092280337,113.0720,3399,60.8085,6388.2337,1774.5094,50.6058,5257.2195,1460.3387,0.0000,0.0049,0.0014,
22:16:45:653,1203474294316820,114.0727,3399,60.0337,6448.2782,1791.1884,49.8722,5307.1007,1474.1946,0.0000,0.0049,0.0014,
22:16:46:653,1203477496318734,115.0733,3399,60.5650,6508.8541,1808.0150,50.3386,5357.4484,1488.1801,0.0000,0.0049,0.0014,
22:16:47:654,1203480698438329,116.0740,3399,61.0136,6569.8807,1824.9669,50.8668,5408.3260,1502.3128,0.0000,0.0049,0.0014,
22:16:48:655,1203483900452180,117.0746,3399,61.2511,6631.1432,1841.9842,51.1799,5459.5154,1516.5321,0.0000,0.0049,0.0014,
22:16:49:655,1203487102477884,118.0752,3399,60.7512,6691.9056,1858.8627,50.4862,5510.0109,1530.5586,0.0000,0.0049,0.0014,
22:16:50:656,1203490304416048,119.0758,3399,60.9243,6752.8395,1875.7887,50.7175,5560.7364,1544.6490,0.0000,0.0049,0.0014,
22:16:51:657,1203493506442888,120.0765,3399,60.2653,6813.1161,1892.5322,50.1162,5610.8620,1558.5728,0.0000,0.0049,0.0014,
22:16:52:657,1203496708333171,121.0771,3399,60.5470,6873.6718,1909.3533,50.3736,5661.2429,1572.5675,0.0000,0.0049,0.0014,
22:16:53:658,1203499910337523,122.0777,3399,61.0767,6934.7595,1926.3221,50.9515,5712.2035,1586.7232,0.0000,0.0049,0.0014,
22:16:54:658,1203503112360191,123.0783,3399,61.3333,6996.1041,1943.3623,51.1370,5763.3499,1600.9305,0.0000,0.0049,0.0014,
22:16:55:659,1203506314395769,124.0790,3399,60.1759,7056.2913,1960.0809,49.9636,5813.3229,1614.8119,0.0000,0.0049,0.0014,
22:16:56:660,1203509516400837,125.0796,3399,60.5545,7116.8568,1976.9047,50.4009,5863.7329,1628.8147,0.0000,0.0049,0.0014,
